21594,taobao.scitem.get,根据id查询商品,根据id查询商品
21595,taobao.scitem.query,查询后端商品,查询后端商品
21596,taobao.scitem.update,根据商品ID或商家编码修改后端商品,根据商品ID或商家编码修改后端商品
21597,taobao.scitem.add,发布后端商品,发布后端商品
21598,taobao.scitem.map.delete,失效指定用户的商品与后端商品的映射关系,根据后端商品Id，失效指定用户的商品与后端商品的映射关系
21599,taobao.scitem.map.query,查找IC商品或分销商品与后端商品的关联信息,查找IC商品或分销商品与后端商品的关联信息。skuId如果不传就查找该itemId下所有的sku
21600,taobao.scitem.map.add,创建IC商品与后端商品的映射关系,创建IC商品或分销商品与后端商品的映射关系
21601,taobao.inventory.store.query,查询仓库信息,查询商家仓信息
21607,taobao.inventory.adjust.trade,交易库存调整单,商家交易调整库存，淘宝交易、B2B经销等
21608,taobao.inventory.adjust.external,非交易库存调整单,商家非交易调整库存，调拨出库、盘点等时调用
21611,taobao.inventory.store.manage,创建或更新仓库,创建商家仓或者更新商家仓信息
21612,taobao.inventory.initial,库存初始化,商家仓库存初始化接口，直接按照商家指定的商品库存数进行填充，没有单据核对，不参与库存对账
21613,taobao.inventory.query,查询商品库存信息,商家查询商品总体库存信息
21614,taobao.fenxiao.product.link,产品关联,淘宝商品关联分销商品
21615,taobao.fenxiao.product.download,产品下载,下载供应商的产品到分销商店铺内
21617,taobao.fenxiao.requisitions.get,合作申请查询,合作申请查询
21618,taobao.fenxiao.cooperation.productcat.add,追加授权产品线,追加授权产品线
21619,taobao.fenxiao.cooperation.audit,合作授权审批,合作授权审批
21620,taobao.fenxiao.cooperation.terminate,终止合作,终止与分销商的合作关系
21621,taobao.fenxiao.product.gradeprice.get,等级折扣查询,等级折扣查询
21624,taobao.fenxiao.grade.add,新建等级,新建等级
21625,taobao.fenxiao.productcat.delete,删除产品线,删除产品线
21626,taobao.fenxiao.productcat.update,修改产品线,修改产品线
21627,taobao.fenxiao.productcat.add,新增产品线,新增产品线
21629,taobao.fenxiao.order.pay,分销商付款,分销商付款，目前支持支付宝担保交易，支付宝即时到帐，支付宝预存款，代销分账，汇金即时到帐，汇金预存款，线下银行转账
21631,taobao.vmarket.eticket.tasks.get,任务列表获取接口,外部合作卖家获取任务列表的信息：如发码同通知失败或者回调失败的订单号
21632,taobao.vmarket.eticket.manage.notify,主动发起通知接口,外部合作商家主动发起通知接口
21633,taobao.juwliserver.operationbanner.get,根据请求类型获取不通的平台,根据不同的平台获取平台banner列表
21640,taobao.jindoucloud.messagecount.get,获取消息计数器,获取有多少资源变化了
21641,taobao.vas.freesub.close,关闭免费订购记录,关闭某个卖家服务平台上的订购的免费服务
21642,taobao.fuwu.sale.link.gen,服务平台营销链接生成接口,服务商通过使用该接口来产生营销链接，通过把这种链接发送给商家来做自定义人群的服务营销<br>
注：session是param_str这个参数串创建者生成的session，这个创建者与入参中的nick是不一致的。例如：A开发者创建了一个param_str的字符串，要为B商家生成一个营销链接，session必须是A开发者创建的session。
21643,tmall.items.extend.search,搜索天猫商品,提供天猫商品搜索结果，需要调用精选商品，请改为调用：tmall.selected.items.search
21644,taobao.promotionmisc.tool.check,UMP工具检测,UMP工具检测。ISV通过该接口检测（通过taobao.ump.tool.add）创建的UMP工具（tool）是否符合规范，如果不符合，则返回错误信息和对应的解决方案的；工具检测通过后才可以提交工具审核邮件，提交工具审核时，需提供该接口的返回值。
21658,taobao.ju.freeloginurl.get,获取聚划算桌面客户端免登录URL,获取聚划算桌面客户端免登URL。传入需要免登的URL，服务端处理后，会将免登URL返回。
21668,tmall.servicecenter.contract.get,合同类故障工单拉取,接口供服务供应商通过交易主订单查询其未拉取的合同类工单
21669,tmall.servicecenter.task.get,任务类故障工单拉取,接口供服务供应商通过交易主订单查询其未拉取的任务类工单
21671,alipay.point.budget.get,查询已采购的集分宝余额,查询已采购的集分宝余额，操作流程如下：
1、申请支付宝增值包。
2、申请支付宝应用上线时选择集分宝API。
3、引导商家签约支付宝集分宝服务，地址为https://openapi.alipay.com/subscribe.htm?id=应用ID。
4、引导商家对授予支付宝集分宝发放权限，地址为https://openauth.alipay.com/oauth2/authorize.htm?scope=p&client_id=应用ID
5、引导授权的商家采购集分宝，地址为https://jf.alipay.com/aop/purchase.htm，进行集分宝采购。
6、商家采购之后可以通过集分宝余额API（alipay.point.budget.get）查询商家的集分宝数量。
21673,alipay.point.order.add,发放集分宝,向用户发送集分宝，发放集分宝之前，操作流程如下：
1、申请支付宝增值包。
2、申请支付宝应用上线时选择集分宝API。
3、引导商家签约支付宝集分宝服务，地址为https://openapi.alipay.com/subscribe.htm?id=应用ID。
4、引导商家对授予支付宝集分宝发放权限，地址为https://openauth.alipay.com/oauth2/authorize.htm?scope=p&client_id=应用ID
